residue,count,avg_alternating_len,max_alternating_len,argmax_alternating_len,avg_early_peak_ratio,max_early_peak_ratio,argmax_early_peak_ratio,avg_total_steps,avg_stopping_time
0,1953,1.0,1,512,1.00019,1.371092,931328,75.987711,1.0
1,1954,2.0,2,1,5.436926,701.425247,957953,136.860287,3.0
126,1953,13.0,13,126,17.771604,1052.137223,516734,149.414235,1.0
127,1953,14.0,14,127,150.722211,71906.975902,239231,174.738351,46.279058
155,1953,4.0,4,155,38.148436,3994.821394,856731,161.209421,34.250896
167,1953,6.0,6,167,40.400781,3550.952646,837799,161.906298,34.831541
254,1953,15.0,15,254,54.80126,23968.991966,478462,161.331797,1.0
255,1953,16.0,16,255,175.302741,71907.126186,159487,173.979007,46.601126
283,1953,4.0,4,283,119.764531,10652.866477,654619,176.605223,46.612903
447,1953,12.0,12,447,135.092082,47937.91714,358847,174.834613,46.881208
510,1953,18.993856,37,524286,136.859853,23969.04206,318974,175.530466,1.0
511,1953,19.993856,38,524287,347.125344,23968.966916,318975,189.547875,59.422939
