source,prev_exit_v2,actual_expansive_fraction,joint_tail_exit_fraction,geometric_independent_fraction,observed_tail_geometric_exit,geometric_tail_observed_exit,observed_marginal_product
chain_before_descent,1,0.28608391,0.28608391,0.2862745,0.28598365,0.28618643,0.28589565
local_all_starts,1,0.28627177,0.28627177,0.2862745,0.28627165,0.28627561,0.28627275
chain_before_descent,2,0.28587413,0.28587413,0.2862745,0.28602949,0.28623407,0.28598914
local_all_starts,2,0.28627841,0.28627841,0.2862745,0.28627377,0.28627354,0.28627281
chain_before_descent,3,0.28655096,0.28655096,0.2862745,0.28838051,0.28505597,0.28715243
local_all_starts,3,0.28630537,0.28630537,0.2862745,0.28627567,0.28630288,0.28630405
chain_before_descent,4,0.28176417,0.28176417,0.2862745,0.28141655,0.29066516,0.28568061
local_all_starts,4,0.28626467,0.28626467,0.2862745,0.28627072,0.28627302,0.28626924
chain_before_descent,5,0.25979573,0.25979573,0.2862745,0.261586,0.2895802,0.26452212
local_all_starts,5,0.28628846,0.28628846,0.2862745,0.28627991,0.28628648,0.28629189
chain_before_descent,6,0.26953125,0.26953125,0.2862745,0.28391113,0.27866701,0.27549683
local_all_starts,6,0.28610194,0.28610194,0.2862745,0.28628354,0.28615505,0.28616408
chain_before_descent,7,0.19277108,0.19277108,0.2862745,0.23776355,0.30749806,0.25634163
local_all_starts,7,0.28654821,0.28654821,0.2862745,0.28637719,0.2863871,0.28648982
chain_before_descent,8,0.21176471,0.21176471,0.2862745,0.27647059,0.26617647,0.25564014
local_all_starts,8,0.28684076,0.28684076,0.2862745,0.28643993,0.28683185,0.2869978
