condition,real_count,model_count,real_next_expansive_fraction,model_next_expansive_fraction,diff_real_minus_model,diff_se,diff_z_score,diff_ci95_low,diff_ci95_high,real_avg_next_log,model_avg_next_log,diff_avg_next_log,real_avg_next_tail,model_avg_next_tail,diff_avg_next_tail,real_avg_next_exit_v2,model_avg_next_exit_v2,diff_avg_next_exit_v2
prev_exit_v2_ge_1,1861284,1862189,0.28591607,0.28627331,-0.00035724,0.0004684153,-0.762654,-0.00127533,0.00056086,-0.576885290472,-0.576415348344,-0.000469942128,1.99834254,1.99910482,-0.00076227,2.00122604,2.00099292,0.00023312
prev_exit_v2_ge_2,442078,442636,0.28537724,0.2859799,-0.00060266,0.000960537,-0.627421,-0.00248531,0.00127999,-0.576834983851,-0.575856169732,-0.00097881412,1.99838942,1.99948942,-0.0011,2.00118079,2.00041117,0.00076961
prev_exit_v2_ge_3,113185,113804,0.28393338,0.28477031,-0.00083692,0.0018936787,-0.441956,-0.00454853,0.00287469,-0.57710002388,-0.574814002803,-0.002286021077,2.00045942,1.99770658,0.00275284,2.00277422,1.99786475,0.00490947
prev_exit_v2_ge_4,29008,29138,0.27633756,0.2860869,-0.00974933,0.0037287043,-2.614671,-0.0170576,-0.00244107,-0.565471977357,-0.575430574389,0.009958597031,1.97807501,1.98857162,-0.01049661,1.97290403,1.99341067,-0.02050664
prev_exit_v2_ge_5,7128,7269,0.25968013,0.28201954,-0.0223394,0.007404491,-3.017007,-0.0368522,-0.0078266,-0.580839952213,-0.587384670127,0.006544717914,1.92269921,1.99504746,-0.07234825,1.96268238,2.0144449,-0.05176252
prev_exit_v2_ge_6,1743,1769,0.25932301,0.28434144,-0.02501843,0.0150076504,-1.667045,-0.05443342,0.00439657,-0.57522449733,-0.588641581914,0.013417084584,1.91795754,2.01074053,-0.09278299,1.95180723,2.0254381,-0.07363087
prev_exit_v2_ge_7,463,443,0.23110151,0.28668172,-0.0555802,0.0290758005,-1.911562,-0.11256877,0.00140837,-0.561136011736,-0.592013133349,0.030877121613,1.78401728,2.03611738,-0.2521001,1.85313175,2.04514673,-0.19201498
prev_exit_v2_ge_8,131,123,0.32824427,0.27642276,0.05182151,0.0575267731,0.900824,-0.06093096,0.16457399,-0.544515800593,-0.656597824581,0.112082023988,1.98473282,2.00813008,-0.02339726,1.94656489,2.12195122,-0.17538633
prev_exit_v2_ge_9,46,30,0.54347826,0.23333333,0.31014493,0.106567588,2.910312,0.10127246,0.5190174,-0.468457467285,-0.819928708694,0.351471241409,2.15217391,1.96666667,0.18550725,1.93478261,2.33333333,-0.39855072
prev_exit_v2_ge_10,10,8,0.8,0.125,0.675,0.1722552612,3.918603,0.33737969,1.01262031,-0.367419922353,-1.904460867368,1.537040945015,2.0,1.5,0.5,1.7,3.625,-1.925
prev_exit_v2_ge_11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.367123614132,2.367123614132,0.0,1.0,-1.0,0.0,4.0,-4.0
prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
