k,P_real,P_iid,ratio_iid,P_corrected,ratio_corrected
1,1.0000000000,1.0000000000,1.000000,1.0000000000,1.000000
2,0.2862733145,0.2862160000,0.999800,0.2859116000,0.998736
3,0.1399508560,0.1397740000,0.998736,0.1398756000,0.999462
5,0.0602384241,0.0599524000,0.995252,0.0603820000,1.002383
8,0.0221964089,0.0221476000,0.997801,0.0222664000,1.003153
10,0.0126328051,0.0126984000,1.005192,0.0125776000,0.995630
15,0.0036044014,0.0037036000,1.027522,0.0036248000,1.005659
20,0.0011756005,0.0012428000,1.057162,0.0011876000,1.010207
25,0.0004172002,0.0004532000,1.086289,0.0004524000,1.084372
30,0.0001464001,0.0001688000,1.153005,0.0001564000,1.068306
40,0.0000192000,0.0000300000,1.562499,0.0000188000,0.979166
