blocks,P_real,P_model,diff
1,0.7137266855,0.7133360000,-0.0003906855
2,0.1463224585,0.1464624000,0.0001399415
3,0.0518512207,0.0521132000,0.0002619793
4,0.0278612111,0.0279996000,0.0001383889
5,0.0179108072,0.0179096000,-0.0000012072
6,0.0118384047,0.0118512000,0.0000127953
7,0.0082928033,0.0081644000,-0.0001284033
8,0.0056240022,0.0055312000,-0.0000928022
9,0.0039396016,0.0039424000,0.0000027984
10,0.0029468012,0.0029264000,-0.0000204012
11,0.0022164009,0.0022060000,-0.0000104009
12,0.0016804007,0.0016416000,-0.0000388007
13,0.0012448005,0.0012472000,0.0000023995
14,0.0009400004,0.0009552000,0.0000151996
15,0.0007596003,0.0007388000,-0.0000208003
16,0.0005872002,0.0005904000,0.0000031998
17,0.0004708002,0.0004528000,-0.0000180002
18,0.0003480001,0.0003556000,0.0000075999
19,0.0002632001,0.0002916000,0.0000283999
20,0.0002220001,0.0002408000,0.0000187999
21,0.0001696001,0.0001832000,0.0000135999
22,0.0001448001,0.0001588000,0.0000139999
23,0.0001212000,0.0001372000,0.0000160000
24,0.0001008000,0.0000972000,-0.0000036000
25,0.0000808000,0.0000872000,0.0000064000
26,0.0000640000,0.0000632000,-0.0000008000
27,0.0000516000,0.0000580000,0.0000064000
28,0.0000444000,0.0000460000,0.0000016000
29,0.0000300000,0.0000376000,0.0000076000
30,0.0000224000,0.0000284000,0.0000060000
31,0.0000184000,0.0000292000,0.0000108000
32,0.0000144000,0.0000224000,0.0000080000
33,0.0000196000,0.0000160000,-0.0000036000
34,0.0000172000,0.0000124000,-0.0000048000
35,0.0000124000,0.0000088000,-0.0000036000
36,0.0000052000,0.0000076000,0.0000024000
37,0.0000088000,0.0000092000,0.0000004000
38,0.0000056000,0.0000060000,0.0000004000
39,0.0000032000,0.0000064000,0.0000032000
40,0.0000028000,0.0000044000,0.0000016000
