k,modulus,branch,removed_rule,residue,residue_binary,residue_mod_8
16,65536,S1_without_ff_end_to_0_end,aad -> ed,1,0000000000000001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,4009,0000111110101001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,8425,0010000011101001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,12665,0011000101111001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,17121,0100001011100001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,21217,0101001011100001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,25937,0110010101010001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,30009,0111010100111001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,34585,1000011100011001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,38825,1001011110101001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,43233,1010100011100001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,47609,1011100111111001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,52025,1100101100111001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,56601,1101110100011001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,60969,1110111000101001,1
16,65536,S1_without_ff_end_to_0_end,aad -> ed,65529,1111111111111001,1
16,65536,S2_without_tf_end_to_end,bad -> d,125,0000000001111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,4845,0001001011101101,5
16,65536,S2_without_tf_end_to_end,bad -> d,8621,0010000110101101,5
16,65536,S2_without_tf_end_to_end,bad -> d,12933,0011001010000101,5
16,65536,S2_without_tf_end_to_end,bad -> d,17389,0100001111101101,5
16,65536,S2_without_tf_end_to_end,bad -> d,21917,0101010110011101,5
16,65536,S2_without_tf_end_to_end,bad -> d,26365,0110011011111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,30885,0111100010100101,5
16,65536,S2_without_tf_end_to_end,bad -> d,35005,1000100010111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,39549,1001101001111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,43773,1010101011111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,48125,1011101111111101,5
16,65536,S2_without_tf_end_to_end,bad -> d,52133,1100101110100101,5
16,65536,S2_without_tf_end_to_end,bad -> d,56357,1101110000100101,5
16,65536,S2_without_tf_end_to_end,bad -> d,61429,1110111111110101,5
16,65536,S2_without_tf_end_to_end,bad -> d,65533,1111111111111101,5
16,65536,S3_without_t_end_to_2_end,bd -> gd,27,0000000000011011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,4371,0001000100010011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,8603,0010000110011011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,12959,0011001010011111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,17503,0100010001011111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,21831,0101010101000111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,26091,0110010111101011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,30491,0111011100011011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,34815,1000011111111111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,39339,1001100110101011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,43739,1010101011011011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,48071,1011101111000111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,52315,1100110001011011,3
16,65536,S3_without_t_end_to_2_end,bd -> gd,56815,1101110111101111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,61039,1110111001101111,7
16,65536,S3_without_t_end_to_2_end,bd -> gd,65535,1111111111111111,7
