tail,next_tail,count,fraction
1,1,218034,0.25030451
1,2,109082,0.12522687
1,3,54317,0.06235628
1,4,27199,0.03122464
1,5,13607,0.01562093
1,6,6822,0.0078317
1,7,3491,0.00400769
1,8,1741,0.00199868
1,9,788,0.00090463
1,10,451,0.00051775
1,11,206,0.00023649
1,12,102,0.0001171
1,13,50,5.74e-05
1,14,24,2.755e-05
1,15,16,1.837e-05
1,16,3,3.44e-06
1,17,3,3.44e-06
1,19,6,6.89e-06
2,1,109232,0.12539908
2,2,54137,0.06214964
2,3,27061,0.03106621
2,4,13565,0.01557271
2,5,6773,0.00777545
2,6,3462,0.0039744
2,7,1752,0.00201131
2,8,852,0.0009781
2,9,406,0.00046609
2,10,217,0.00024912
2,11,112,0.00012858
2,12,46,5.281e-05
2,13,31,3.559e-05
2,14,7,8.04e-06
2,15,15,1.722e-05
2,16,3,3.44e-06
2,17,1,1.15e-06
3,1,54094,0.06210028
3,2,27368,0.03141865
3,3,13577,0.01558649
3,4,6798,0.00780415
3,5,3385,0.003886
3,6,1730,0.00198605
3,7,835,0.00095859
3,8,423,0.00048561
3,9,217,0.00024912
3,10,103,0.00011824
3,11,38,4.362e-05
3,12,27,3.1e-05
3,13,12,1.378e-05
3,14,6,6.89e-06
3,15,4,4.59e-06
3,16,1,1.15e-06
3,17,2,2.3e-06
4,1,27123,0.03113739
4,2,13570,0.01557845
4,3,6894,0.00791436
4,4,3416,0.00392159
4,5,1626,0.00186666
4,6,812,0.00093218
4,7,471,0.00054071
4,8,224,0.00025715
4,9,90,0.00010332
4,10,71,8.151e-05
4,11,21,2.411e-05
4,12,10,1.148e-05
4,13,8,9.18e-06
4,14,8,9.18e-06
4,15,1,1.15e-06
4,16,2,2.3e-06
5,1,13618,0.01563356
5,2,6753,0.00775249
5,3,3373,0.00387223
5,4,1654,0.0018988
5,5,867,0.00099532
5,6,425,0.0004879
5,7,210,0.00024108
5,8,126,0.00014465
5,9,55,6.314e-05
5,10,21,2.411e-05
5,11,11,1.263e-05
5,12,3,3.44e-06
5,13,4,4.59e-06
5,14,2,2.3e-06
5,15,1,1.15e-06
6,1,6803,0.00780989
6,2,3485,0.0040008
6,3,1690,0.00194013
6,4,841,0.00096547
6,5,425,0.0004879
6,6,242,0.00027782
6,7,102,0.0001171
6,8,54,6.199e-05
6,9,20,2.296e-05
6,10,10,1.148e-05
6,11,5,5.74e-06
6,12,2,2.3e-06
6,14,1,1.15e-06
7,1,3541,0.00406509
7,2,1610,0.00184829
7,3,897,0.00102976
7,4,427,0.0004902
7,5,200,0.0002296
7,6,117,0.00013432
7,7,66,7.577e-05
7,8,41,4.707e-05
7,9,8,9.18e-06
7,10,5,5.74e-06
7,11,2,2.3e-06
7,12,1,1.15e-06
7,13,3,3.44e-06
8,1,1741,0.00199868
8,2,834,0.00095744
8,3,415,0.00047642
8,4,261,0.00029963
8,5,112,0.00012858
8,6,65,7.462e-05
8,7,22,2.526e-05
8,8,13,1.492e-05
8,9,5,5.74e-06
8,10,1,1.15e-06
8,11,4,4.59e-06
9,1,803,0.00092185
9,2,419,0.00048101
9,3,191,0.00021927
9,4,108,0.00012398
9,5,67,7.692e-05
9,6,20,2.296e-05
9,7,13,1.492e-05
9,8,9,1.033e-05
9,9,3,3.44e-06
9,10,1,1.15e-06
9,12,1,1.15e-06
10,1,427,0.0004902
10,2,235,0.00026978
10,3,108,0.00012398
10,4,52,5.97e-05
10,5,22,2.526e-05
10,6,8,9.18e-06
10,7,3,3.44e-06
10,8,5,5.74e-06
10,9,7,8.04e-06
10,12,1,1.15e-06
11,1,196,0.00022501
11,2,102,0.0001171
11,3,48,5.51e-05
11,4,20,2.296e-05
11,5,19,2.181e-05
11,6,5,5.74e-06
11,7,4,4.59e-06
11,12,1,1.15e-06
12,1,95,0.00010906
12,2,47,5.396e-05
12,3,26,2.985e-05
12,4,20,2.296e-05
12,5,4,4.59e-06
12,6,3,3.44e-06
12,7,1,1.15e-06
12,8,2,2.3e-06
12,11,1,1.15e-06
13,1,51,5.855e-05
13,2,25,2.87e-05
13,3,11,1.263e-05
13,4,7,8.04e-06
13,5,3,3.44e-06
13,6,1,1.15e-06
13,8,8,9.18e-06
14,1,29,3.329e-05
14,2,11,1.263e-05
14,3,7,8.04e-06
14,4,2,2.3e-06
14,5,2,2.3e-06
14,7,1,1.15e-06
15,1,9,1.033e-05
15,2,4,4.59e-06
15,3,3,3.44e-06
15,4,1,1.15e-06
15,5,1,1.15e-06
16,1,8,9.18e-06
16,2,2,2.3e-06
16,3,2,2.3e-06
17,1,5,5.74e-06
17,2,1,1.15e-06
17,3,1,1.15e-06
18,1,2,2.3e-06
19,1,6,6.89e-06
