residue,count,avg_total_steps,avg_stopping_time,max_total_steps,argmax_total_steps,max_stopping_time,argmax_stopping_time,max_value,argmax_max_value
0,7812,89.250768,1.0,268,789888,1,128,8153620,587648
1,7813,137.971586,3.0,415,640641,3,129,24648077896,640641
2,7813,125.492256,1.0,364,973826,1,2,1543980040,814338
3,7813,125.493024,6.0,364,973827,6,3,1543980040,814339
4,7813,126.087674,1.0,343,867204,1,4,2798323360,983940
5,7813,126.088058,3.0,343,867205,3,5,2798323360,983941
6,7813,126.088442,1.0,343,867206,1,6,2798323360,983942
7,7813,137.563292,11.0,382,982663,11,7,2512193776,483591
8,7813,113.552797,1.0,322,641800,1,8,593279152,988936
9,7813,150.044413,3.0,438,518921,3,9,2482111348,151177
10,7813,113.553181,1.0,322,641802,1,10,593279152,988938
11,7813,138.81006,8.0,376,533387,8,11,2798323360,983947
12,7813,113.553565,1.0,322,641804,1,12,593279152,988940
13,7813,113.553565,3.0,322,641805,3,13,593279152,988941
14,7813,138.516191,1.0,436,778382,1,14,2512193776,967182
15,7813,138.516191,11.0,436,778383,11,15,2512193776,967183
16,7813,112.53027,1.0,320,962704,1,16,106358020,567952
17,7813,125.706899,3.0,379,760465,3,17,2482111348,716689
18,7813,137.705875,1.0,382,948242,1,18,2482111348,302354
19,7813,137.705875,6.0,382,948243,6,19,2482111348,302355
20,7813,112.530654,1.0,320,962708,1,20,106358020,567956
21,7813,112.530654,3.0,320,962709,3,21,106358020,567957
22,7813,125.94522,1.0,361,755478,1,22,1570824736,981910
23,7813,125.94522,8.0,361,755479,8,23,1570824736,981911
24,7813,112.531038,1.0,320,962712,1,24,106358020,567960
25,7813,137.941636,3.0,392,769305,3,25,17202377752,567065
26,7813,112.531038,1.0,320,962714,1,26,106358020,567962
27,7813,161.926789,34.548957,508,626331,287,626331,24648077896,432923
28,7813,137.60041,1.0,444,922524,1,28,2482111348,453532
29,7813,137.60041,3.0,444,922525,3,29,2482111348,453533
30,7813,137.60041,1.0,444,922526,1,30,2482111348,453534
31,7813,162.275438,34.424805,467,767903,282,381727,24648077896,405407
32,7813,101.297325,1.0,286,752928,1,32,27114424,732960
33,7813,137.982593,3.0,431,875681,3,33,2030295616,939041
34,7813,125.182772,1.0,356,821666,1,34,593279152,650402
35,7813,125.182772,6.0,356,821667,6,35,593279152,650403
36,7813,137.708179,1.0,369,962468,1,36,17202377752,850596
37,7813,137.708179,3.0,369,962469,3,37,17202377752,850597
38,7813,137.708179,1.0,369,962470,1,38,17202377752,850598
39,7813,149.722386,20.734801,524,837799,215,756903,24648077896,912167
40,7813,101.297709,1.0,286,752936,1,40,27114424,732968
41,7813,162.415461,3.0,444,886953,3,41,52483285312,886953
42,7813,101.297709,1.0,286,752938,1,42,27114424,732970
43,7813,138.112761,8.0,399,438699,8,43,2649041476,620971
44,7813,126.177269,1.0,356,844204,1,44,2482111348,537516
45,7813,126.177269,3.0,356,844205,3,45,2482111348,537517
46,7813,126.177269,1.0,356,844206,1,46,2482111348,537518
47,7813,150.370408,20.762703,418,854191,223,434223,24648077896,854191
48,7813,112.59657,1.0,325,855728,1,48,121012864,765872
49,7813,125.466274,3.0,348,747057,3,49,1570824736,736433
50,7813,125.466274,1.0,348,747058,1,50,1570824736,736434
51,7813,125.466274,6.0,348,747059,6,51,1570824736,736435
52,7813,112.59657,1.0,325,855732,1,52,121012864,765876
53,7813,112.59657,3.0,325,855733,3,53,121012864,765877
54,7813,149.194804,1.0,449,820022,1,54,24648077896,865846
55,7813,149.194804,8.0,449,820023,8,55,24648077896,865847
56,7813,124.66159,1.0,353,616248,1,56,2482111348,907064
57,7813,137.647383,3.0,395,998969,3,57,2649041476,827961
58,7813,124.66159,1.0,353,616250,1,58,2482111348,907066
59,7813,137.547549,11.0,369,926651,11,59,17202377752,378043
60,7813,137.506848,1.0,387,865468,1,60,2512193776,816060
61,7813,137.506848,3.0,387,865469,3,61,2512193776,816061
62,7813,150.063484,1.0,405,789310,1,62,24648077896,810814
63,7813,162.559836,34.511967,469,511935,267,270271,52483285312,997823
64,7813,101.296813,1.0,281,848320,1,64,27114424,618432
65,7812,124.896569,3.0,358,547777,3,65,2482111348,955585
66,7812,138.261905,1.0,413,960962,1,66,24648077896,960962
67,7812,138.261905,6.0,413,960963,6,67,24648077896,960963
68,7812,113.333589,1.0,330,760644,1,68,121012864,680772
69,7812,113.333589,3.0,330,760645,3,69,121012864,680773
70,7812,113.333589,1.0,330,760646,1,70,121012864,680774
71,7812,150.874552,20.928315,435,389191,225,495687,2798323360,700487
72,7812,125.108807,1.0,330,760648,1,72,1570824736,828488
73,7812,137.672299,3.0,395,987081,3,73,2482111348,358345
74,7812,125.108807,1.0,330,760650,1,74,1570824736,828490
75,7812,125.050179,8.0,366,694987,8,75,1570824736,490955
76,7812,125.108807,1.0,330,760652,1,76,1570824736,828492
77,7812,125.108807,3.0,330,760653,3,77,1570824736,828493
78,7812,148.712878,1.0,443,461262,1,78,24648077896,577230
79,7812,148.712878,20.666667,443,461263,264,724687,24648077896,577231
80,7812,101.290707,1.0,281,848336,1,80,27114424,618448
81,7812,137.530978,3.0,387,832849,3,81,2482111348,861009
82,7812,150.15361,1.0,410,720722,1,82,24648077896,720722
83,7812,150.15361,6.0,410,720723,6,83,24648077896,720723
84,7812,101.290707,1.0,281,848340,1,84,27114424,618452
85,7812,101.290707,3.0,281,848341,3,85,27114424,618453
86,7812,138.107655,1.0,400,877398,1,86,2482111348,268758
87,7812,138.107655,8.0,400,877399,8,87,2482111348,268759
88,7812,125.061316,1.0,351,924376,1,88,1570824736,932056
89,7812,125.206221,3.0,361,787033,3,89,2798323360,655961
90,7812,125.061316,1.0,351,924378,1,90,1570824736,932058
91,7812,148.314004,20.616103,440,345947,205,732251,2798323360,777435
92,7812,125.061316,1.0,351,924380,1,92,1570824736,932060
93,7812,125.061316,3.0,351,924381,3,93,1570824736,932061
94,7812,149.628648,1.0,389,555230,1,94,6973568800,919518
95,7812,149.628648,20.676779,389,555231,176,408031,6973568800,919519
96,7812,112.042883,1.0,312,851936,1,96,106358020,851936
97,7812,150.206477,3.0,412,480481,3,97,24648077896,480481
98,7812,113.302867,1.0,330,797794,1,98,106358020,673122
99,7812,113.302867,6.0,330,797795,6,99,106358020,673123
100,7812,125.140553,1.0,374,855524,1,100,593279152,439524
101,7812,125.140553,3.0,374,855525,3,101,593279152,439525
102,7812,125.140553,1.0,374,855526,1,102,593279152,439526
103,7812,160.810932,34.270225,457,970599,269,362343,24648077896,288615
104,7812,112.042883,1.0,312,851944,1,104,106358020,851944
105,7812,149.629416,3.0,506,939497,3,105,24648077896,769641
106,7812,112.042883,1.0,312,851946,1,106,106358020,851946
107,7812,149.971582,8.0,433,583787,8,107,23996686912,924907
108,7812,136.375704,1.0,376,570348,1,108,2482111348,680300
109,7812,136.375704,3.0,376,570349,3,109,2482111348,680301
110,7812,136.375704,1.0,376,570350,1,110,2482111348,680302
111,7812,161.24872,34.282514,503,704623,285,667375,24648077896,608111
112,7812,124.123272,1.0,343,840432,1,112,593279152,975600
113,7812,112.042883,3.0,312,851953,3,113,106358020,851953
114,7812,137.730671,1.0,374,796914,1,114,1241684152,776178
115,7812,137.730671,6.0,374,796915,6,115,1241684152,776179
116,7812,124.123272,1.0,343,840436,1,116,593279152,975604
117,7812,124.123272,3.0,343,840437,3,117,593279152,975605
118,7812,137.104583,1.0,375,285174,1,118,17202377752,756086
119,7812,137.104583,8.0,375,285175,8,119,17202377752,756087
120,7812,137.423451,1.0,356,849912,1,120,720170836,759672
121,7812,149.357143,3.0,451,546681,3,121,17202377752,504057
122,7812,137.423451,1.0,356,849914,1,122,720170836,759674
123,7812,149.493088,20.69278,436,775035,189,569595,23996686912,822139
124,7812,149.692012,1.0,384,624636,1,124,17202377752,637948
125,7812,149.692012,3.0,384,624637,3,125,17202377752,637949
126,7812,162.593318,1.0,418,847358,1,126,24648077896,540542
127,7812,175.590502,46.84767,449,818943,272,401151,56991483520,704511
